CD Number,Company Name,Country Name,DUNS
254922,"Damin Foodstuff (Zhangzhou) Co., Ltd.",CN,544622806
290597,"Ningbo Huifeng Food Co., Ltd.",CN,527241830
267529,Xiamen Inetrnational Trade & Industrial Co,CN,
266305,Mzuzu Coffee Planters Cooperative Union Limited,MW,559897284
287829,Simsek Biscuits and Food Industry Co.,TR,535342901
375343,"Dalian Hengtai Foods Co., LTD.",CN,545313512
19886,Mahi Frozen Foods,PK,645792461
576170,Industrias Alimenticias Kerns Y Cia S.C.A.,GT,
55324,Sherwood Estate Wines Ltd. / Dayne Sherwood,NZ,591875125
657285,Marbelize S.A.,EC,935122085
732502,Pirlet Luc / Summum S.A,BE,
742430,Asiana Express South Korea,KR,
728182,B & D International Corporation,US,89590439
448490,Long Son Joint Stock Company,VN,555213524
494805,"Yinjing Medical Technology (Shanghai) Co., Ltd.",CN,530501535
743455,Inpastas S.A. / Industrias De Pastas Alimenticias S.A.,BO,950009949
344219,Nasco,US,
733955,"Qingdao Sinomark Foods Co., Ltd.",CN,
282243,El Pequeno Molino S.A.,ES,470847021
568047,Yealands Estate Wines Ltd.,NZ,593604361
619131,Lycored Corp,US,613175327
74462,Italpasta Limited,CA,245384698
656683,Patronales (Vina Casas) / Vina Casas Patronales S.A. / Casas Patronales (Vina),CL,
55935,"Patum Rice Mill and Granary Public Co., Ltd.",TH,659781470
86495,Saimaco S.A.,MA,645243163
23289,PT. Bonecom,ID,728666322
74741,"La Crosse Milling Co., Inc.",US,113525448
715521,"Aminoup Chemical Co., Limited",JP,692035462
95051,Sweet N Fun Limited,CN,667563696
11494,Poseidon Food Company,IN,
4393,"Bocadoscon S, S.L.",ES,
111284,Ceylon Royal Teas (Pvt) Ltd.,LK,559834415
616529,"Easy & Ready, S.A.",GT,846119584
52224,Embutidos Y Jamones Noel S.A. / Noel Alimentaria S.A.U.,ES,460355381
700475,BABCO Europe Limited The Forum,IE,
677748,"STCA ""Al Jazira"" Company",TN,362863886
139626,GUANGXI ZHENGWU MARINE INDUSTRY,CN,530814672
711509,Carmi Flavors,CA,206465283
681410,Paradise Fisheries Limited,BS,875057866
737270,"Dandong Hailong Foodstuff Co., Ltd.",CN,528024432
570157,Il Boschetto SRL / Il Boschetto Maremme Toscana Srl,IT,
118115,Bershtel Enterprises LLC,US,66659129
265979,Piscifactoria EL Diviso,CO,
744674,Cook Inov,FR,
241138,Consorcio Citricos Dominicanos S.A.,DO,
63147,"Tulip International, Inc.",KR,688775134
745791,"I Am Enlightened Nutrition / I AM Products, LLC",US,
699989,"Strong Ginseng & Herbs (BaiShan) Industries Company Limited / Botanicalink Co., Ltd",CN,526421059
647523,PharmaNutrients Botanical Corporation,CA,
521852,Basic India Limited,IN,860408796
474895,Laso S.A. - 3 Arroyos SA,AR,
747361,Sensory Effects Flavor Company,US,
531351,Cafe Devotion S.A.S.,CO,882404148
77883,Vadilal Industries Limited,IN,650119480
703653,Yoshikawa Corporation,JP,690964853
341058,"Gansu Ganlu Dehydrated Vegetables Co.,Ltd",CN,
83604,J R Suarez Monedero SL,ES,477254874
49228,Caffe Trombetta SPA,IT,428880801
447815,Zhenye Aquatic (Huilong) Ltd.,CN,
657502,Umalaxmi Organics Pvt. Ltd. Alkapuri,IN,
470383,Spa Cosmetics Ltd.,IL,
743392,Huasin Food Industries Sdn Bhd,MY,534410686
56447,"USA Poultry & Egg Export Council, Inc.",US,173849522
356474,Bodegas Nino Jesus / S.A.T. 2563 Nino Jesus,ES,473855971
746382,Megafrut Limitada,CL,980652713
746413,Great  Apex Industrial Factory Ltd,CN,
355900,Chateau de Montfaucon / EARL Domaine de Montfaucon,FR,777215724
11306,Iceland Waters Ltd.,IS,644901829
345215,Kingfisher Holdings Ltd.,TH,
297064,"Jinxiang Golden Profit Food Co., Ltd.",CN,529122423
320708,"RZBC (Juxian) Co., Ltd.",CN,527809502
415138,"Yangzhou Super Union Import & Export Co., Ltd. / Yangzhou Super Union Medical Material Co.,Ltd.",CN,527732841
743042,PT. Citra Deli Kreasitama,ID,726417517
139258,Vina Carmen S.A. / Carmen Vineyards S.A. / Sociedad Anonima Vina Santa Rita,CL,980449409
236222,Team Products BV,NL,418389011
